date,home,away,home_goals,away_goals
2017-12-23,Real Madrid,Barcelona,0,3
2017-12-23,Valencia,Villarreal,0,1
2017-12-23,Deportivo,Celta,1,3
2018-01-06,Valencia,Girona,2,1
2018-01-06,Las Palmas,Eibar,1,2
2018-01-06,Sevilla,Betis,3,5
2018-01-06,Atletico de Madrid,Getafe,2,0
2018-01-07,Barcelona,Levante,3,0
2018-01-07,Villarreal,Deportivo,1,1
2018-01-07,Leganes,Real Sociedad,1,0
2018-01-07,Atletico de Bilbao,Alaves,2,0
2018-01-07,Celta,Real Madrid,2,2
2018-01-08,Malaga,Espanol,0,1
2018-01-12,Getafe,Malaga,1,0
2018-01-13,Girona,Las Palmas,6,0
2018-01-13,Deportivo,Valencia,1,2
2018-01-13,Real Madrid,Villarreal,0,1
2018-01-13,Eibar,Atletico de Madrid,0,1
2018-01-14,Levante,Celta,0,1
2018-01-14,Real Sociedad,Barcelona,2,4
2018-01-14,Espanol,Atletico de Bilbao,1,1
2018-01-14,Alaves,Sevilla,1,0
2018-01-15,Betis,Leganes,3,2
2018-01-19,Getafe,Atletico de Bilbao,2,2
2018-01-20,Atletico de Madrid,Girona,1,1
2018-01-20,Las Palmas,Valencia,2,1
2018-01-20,Villarreal,Levante,2,1
2018-01-20,Espanol,Sevilla,0,3
2018-01-21,Alaves,Leganes,2,2
2018-01-21,Real Sociedad,Celta,1,2
2018-01-21,Betis,Barcelona,0,5
2018-01-21,Real Madrid,Deportivo,7,1
2018-01-22,Eibar,Malaga,1,1
2018-01-26,Atletico de Bilbao,Eibar,1,1
2018-01-27,Deportivo,Levante,2,2
2018-01-27,Valencia,Real Madrid,1,4
2018-01-27,Villarreal,Real Sociedad,4,2
2018-01-27,Malaga,Girona,0,0
2018-01-28,Atletico de Madrid,Las Palmas,3,0
2018-01-28,Barcelona,Alaves,2,1
2018-01-28,Sevilla,Getafe,1,1
2018-01-28,Leganes,Espanol,3,2
2018-01-29,Celta,Betis,3,2
2018-02-02,Real Sociedad,Deportivo,5,0
2018-02-03,Eibar,Sevilla,5,1
2018-02-03,Betis,Villarreal,2,1
2018-02-03,Levante,Real Madrid,2,2
2018-02-03,Alaves,Celta,2,1
2018-02-04,Girona,Atletico de Bilbao,2,0
2018-02-04,Getafe,Leganes,0,0
2018-02-04,Atletico de Madrid,Valencia,1,0
2018-02-04,Espanol,Barcelona,1,1
2018-02-05,Las Palmas,Malaga,1,0
2018-02-09,Atletico de Bilbao,Las Palmas,0,0
2018-02-10,Leganes,Eibar,0,1
2018-02-10,Malaga,Atletico de Madrid,0,1
2018-02-10,Villarreal,Alaves,1,2
2018-02-10,Real Madrid,Real Sociedad,5,2
2018-02-11,Sevilla,Girona,1,0
2018-02-11,Barcelona,Getafe,0,0
2018-02-11,Celta,Espanol,2,2
2018-02-11,Valencia,Levante,3,1
2018-02-12,Deportivo,Betis,0,1
2018-02-16,Girona,Leganes,3,0
2018-02-17,Eibar,Barcelona,0,2
2018-02-17,Alaves,Deportivo,1,0
2018-02-17,Las Palmas,Sevilla,1,2
2018-02-17,Malaga,Valencia,1,2
2018-02-18,Real Sociedad,Levante,3,0
2018-02-18,Betis,Real Madrid,3,5
2018-02-18,Espanol,Villarreal,1,1
2018-02-18,Atletico de Madrid,Atletico de Bilbao,2,0
2018-02-19,Getafe,Celta,3,0
2018-02-21,Leganes,Real Madrid,1,3
2018-02-23,Deportivo,Espanol,0,0
2018-02-24,Real Madrid,Alaves,4,0
2018-02-24,Celta,Eibar,2,0
2018-02-24,Leganes,Las Palmas,0,0
2018-02-24,Barcelona,Girona,6,1
2018-02-25,Valencia,Real Sociedad,2,1
2018-02-25,Villarreal,Getafe,1,0
2018-02-25,Atletico de Bilbao,Malaga,2,1
2018-02-25,Sevilla,Atletico de Madrid,2,5
2018-02-26,Levante,Betis,0,2
2018-02-27,Espanol,Real Madrid,1,0
2018-02-27,Girona,Celta,1,0
2018-02-28,Atletico de Madrid,Leganes,4,0
2018-02-28,Eibar,Villarreal,1,0
2018-02-28,Malaga,Sevilla,0,1
2018-02-28,Getafe,Deportivo,3,0
2018-02-28,Atletico de Bilbao,Valencia,1,1
2018-03-01,Betis,Real Sociedad,0,0
2018-03-01,Las Palmas,Barcelona,1,1
2018-03-01,Alaves,Levante,1,0
2018-03-03,Deportivo,Eibar,1,1
2018-03-03,Villarreal,Girona,0,2
2018-03-03,Leganes,Malaga,2,0
2018-03-03,Sevilla,Atletico de Bilbao,2,0
2018-03-03,Real Madrid,Getafe,3,1
2018-03-04,Valencia,Betis,2,0
2018-03-04,Real Sociedad,Alaves,2,1
2018-03-04,Barcelona,Atletico de Madrid,1,0
2018-03-04,Levante,Espanol,1,1
2018-03-05,Celta,Las Palmas,2,1
2018-03-09,Girona,Deportivo,2,0
2018-03-10,Getafe,Levante,0,1
2018-03-10,Malaga,Barcelona,0,2
2018-03-10,Sevilla,Valencia,0,2
2018-03-10,Eibar,Real Madrid,1,2
2018-03-11,Atletico de Bilbao,Leganes,2,0
2018-03-11,Espanol,Real Sociedad,2,1
2018-03-11,Atletico de Madrid,Celta,3,0
2018-03-11,Las Palmas,Villarreal,0,2
2018-03-12,Alaves,Betis,1,3
2018-03-16,Levante,Eibar,2,1
2018-03-17,Betis,Espanol,3,0
2018-03-17,Valencia,Alaves,3,1
2018-03-17,Real Sociedad,Getafe,1,2
2018-03-17,Deportivo,Las Palmas,1,1
2018-03-18,Leganes,Sevilla,2,1
2018-03-18,Real Madrid,Girona,6,3
2018-03-18,Villarreal,Atletico de Madrid,2,1
2018-03-18,Celta,Malaga,0,0
2018-03-18,Barcelona,Atletico de Bilbao,2,0
2018-03-31,Sevilla,Barcelona,2,2
2018-03-31,Girona,Levante,1,1
2018-03-31,Atletico de Bilbao,Celta,1,1
2018-03-31,Las Palmas,Real Madrid,0,3
2018-04-01,Espanol,Alaves,0,0
2018-04-01,Eibar,Real Sociedad,0,0
2018-04-01,Malaga,Villarreal,1,0
2018-04-01,Leganes,Valencia,0,1
2018-04-01,Atletico de Madrid,Deportivo,1,0
2018-04-02,Getafe,Betis,0,1
2018-04-06,Deportivo,Malaga,3,2
2018-04-07,Alaves,Getafe,2,0
2018-04-07,Barcelona,Leganes,3,1
2018-04-07,Celta,Sevilla,4,0
2018-04-07,Betis,Eibar,2,0
2018-04-08,Levante,Las Palmas,2,1
2018-04-08,Valencia,Espanol,1,0
2018-04-08,Real Sociedad,Girona,5,0
2018-04-08,Real Madrid,Atletico de Madrid,1,1
2018-04-09,Villarreal,Atletico de Bilbao,1,3
2018-04-13,Girona,Betis,0,1
2018-04-14,Las Palmas,Real Sociedad,0,1
2018-04-14,Atletico de Bilbao,Deportivo,2,3
2018-04-14,Sevilla,Villarreal,2,2
2018-04-14,Barcelona,Valencia,2,1
2018-04-14,Leganes,Celta,1,0
2018-04-15,Getafe,Espanol,1,0
2018-04-15,Eibar,Alaves,0,1
2018-04-15,Malaga,Real Madrid,1,2
2018-04-15,Atletico de Madrid,Levante,3,0
2018-04-17,Villarreal,Leganes,2,1
2018-04-17,Celta,Barcelona,2,2
2018-04-17,Deportivo,Sevilla,0,0
2018-04-18,Real Madrid,Atletico de Bilbao,1,1
2018-04-18,Espanol,Eibar,0,1
2018-04-18,Valencia,Getafe,1,2
2018-04-19,Levante,Malaga,1,0
2018-04-19,Real Sociedad,Atletico de Madrid,3,0
2018-04-19,Alaves,Girona,1,2
2018-04-19,Betis,Las Palmas,1,0
2018-04-20,Leganes,Deportivo,0,0
2018-04-21,Celta,Valencia,1,1
2018-04-21,Eibar,Getafe,0,1
2018-04-22,Las Palmas,Alaves,0,4
2018-04-22,Atletico de Madrid,Betis,0,0
2018-04-22,Girona,Espanol,0,2
2018-04-22,Malaga,Real Sociedad,2,0
2018-04-23,Atletico de Bilbao,Levante,1,3
2018-04-27,Levante,Sevilla,2,1
2018-04-28,Real Madrid,Leganes,2,1
2018-04-28,Real Sociedad,Atletico de Bilbao,3,1
2018-04-28,Villarreal,Celta,4,1
2018-04-28,Espanol,Las Palmas,1,1
2018-04-29,Deportivo,Barcelona,2,4
2018-04-29,Getafe,Girona,1,1
2018-04-29,Valencia,Eibar,0,0
2018-04-29,Alaves,Atletico de Madrid,0,1
2018-04-30,Betis,Malaga,2,1
2018-05-04,Sevilla,Real Sociedad,1,0
2018-05-05,Villarreal,Valencia,1,0
2018-05-05,Girona,Eibar,1,4
